Word,Frequency
opening,8
sad,8
paid,8
ten,8
future,8
june,8
leaves,8
gay,8
son,8
copies,8
hello,8
state,8
reach,8
flowers,8
dan,8
thick,8
gate,8
crowded,8
clothes,8
weren,8
months,8
silent,8
faint,8
soft,8
colour,8
certainly,8
thinking,8
subject,8
invited,8
foot,8
buy,8
lady,8
interested,8
noon,8
during,8
given,8
sorry,8
village,8
died,8
human,8
quite,8
ebooks,8
fee,8
friends,8
phrase,8
caught,8
supper,8
filled,8
limited,8
impatiently,7
fellow,7
control,7
interrupted,7
till,7
fantastic,7
says,7
remark,7
section,7
excited,7
solemn,7
best,7
beautiful,7
wrong,7
montenegro,7
scarcely,7
cheerful,7
brown,7
wide,7
anybody,7
show,7
meyer,7
police,7
apartment,7
urged,7
park,7
month,7
golf,7
lower,7
excitement,7
vanished,7
played,7
herself,7
hours,7
realized,7
shirts,7
number,7
whisky,7
disappeared,7
beauty,7
edge,7
klipspringer,7
object,7
coffee,7
secret,7
neighbour,7
dollars,7
hotel,7
below,7
newspaper,7
near,7
believed,7
yourself,7
today,7
b,7
order,7
louisville,7
fresh,7
also,7
beginning,7
form,7
sharp,7
drawing,7
servants,7
threw,7
glance,7
else,7
medium,7
looks,7
waiting,7
jumped,7
dropped,7
blew,7
engaged,7
4,7
5,7
letter,7
books,7
champagne,7
children,7
u,7
law,7
distributing,7
guests,7
contact,7
overhead,7
host,7
abruptly,7
ash,7
above,7
eckleburg,7
request,7
driver,7
provide,7
sharply,7
located,7
using,6
confusion,6
cry,6
distribute,6
permission,6
backward,6
polite,6
j,6
supposed,6
stretched,6
ashes,6
grotesque,6
tears,6
suggestion,6
mistake,6
lucille,6
pair,6
6,6
8,6
incessantly,6
dawn,6
cannot,6
notice,6
curtains,6
loud,6
moonlight,6
whatever,6
invisible,6
mint,6
shining,6
bridge,6
staring,6
funeral,6
understood,6
floated,6
song,6
liked,6
heaps,6
hold,6
instead,6
ghostly,6
tree,6
affair,6
de,6
ice,6
kissed,6
downstairs,6
movements,6
stiff,6
rested,6
nineteen,6
appeared,6
piece,6
accident,6
rosy,6
bound,6
strange,6
forty,6
grew,6
guessed,6
dream,6
step,6
stay,6
pink,6
view,6
drawn,6
wondered,6
orchestra,6
casually,6
provided,6
leaning,6
damp,6
support,6
james,6
dresses,6
trust,6
thousand,6
singing,6
promise,6
dance,6
circle,6
early,6
dressed,6
row,6
probably,6
movement,6
apparently,6
finding,6
distance,6
bottle,6
helped,6
figure,6
afterward,6
history,6
muttered,6
address,6
hundreds,6
sounded,6
spring,6
beneath,6
obviously,6
self,6
able,6
assured,6
american,6
reason,6
eyed,6
fall,6
discovered,6
shaking,6
six,6
goes,6
lavender,6
gas,6
returned,6
autumn,6
attention,6
truth,6
owl,6
tax,6
pleasant,6
objected,6
present,6
casual,6
nervous,6
charge,6
distribution,6
comply,6
